Gene,Coordinates
RPL39P29,13:102262838-102263253
RPL39P33,17:56572995-56573391
RPL39P28,12:68001394-68001548
RPL39P30,16:87268131-87268535
RPL39P26,11:13685302-13685704
RPL39P25,10:75269200-75269594
RPL37P21,13:68331332-68331613
RPL37P19,12:48054968-48055253
RPL36AP34,9:27210327-27210626
RPL36AP32,8:28810103-28810414
RPL36AP30,7:157263022-157263401
RPL36AP29,7:16208915-16209283
RPL36AP28,7:152602159-152602515
RPL36AP24,6:108318052-108318463
RPL35AP22,9:117685258-117685585
RPL35AP21,9:71589540-71589977
RPL34P30,17:42714299-42714639
RPL34P35,22:19238443-19238739
RPL34P29,16:49935026-49935347
RPL34P32,18:21854645-21854987
RPL34P25,12:19508855-19509291
RPL34P28,14:55282296-55282643
RPL34P23,11:123035833-123036237
RPL34P22,11:44629357-44629674
RPL34P21,11:130082495-130082781
RPL34P19,10:31984255-31984555
RPL32P33,17:72627172-72627679
RPL32P30,15:50798670-50798957
RPL32P26,12:62658797-62659271
RPL32P25,11:95963215-95963677
RPL32P24,11:83212953-83213451
RPL32P32,17:60245304-60245647
RPL31P61,19:36901719-36902158
RPL31P60,19:32963508-32963865
RPL31P58,17:28802427-28802793
RPL31P54,13:78422823-78423174
RPL31P62,22:17093615-17093937
RPL31P47,11:123051113-123051452
RPL31P59,18:3377935-3378270
RPL31P46,11:74919575-74919933
RPL31P56,16:55352693-55353070
RPL31P53,13:57391165-57391518
RPL31P52,12:120450465-120450802
RPL31P51,12:53632813-53633178
RPL29P29,13:88236562-88236969
RPL29P22,11:63115767-63116383
RPL26P27,10:68499490-68500009
RPL26P34,13:24704338-24704788
RPL23AP55,8:23206908-23207416
RPL23AP54,8:5476509-5476969
RPL23AP52,7:11006352-11006878
RPL23AP51,7:7742087-7742577
RPL23AP40,3:138796851-138797239
RPL23AP39,3:1730054-1730474
RPL23AP31,2:218841586-218842119
RPL23AP30,2:201066820-201067242
RPL23AP29,2:153370626-153371064
RPL23AP27,2:104678204-104678720
RPL22P21,17:16084004-16084441
RPL21P130,19:17589570-17590109
RPL21P127,18:3406310-3406858
RPL21P129,19:7750644-7751190
RPL21P124,17:49400396-49400800
RPL21P126,18:55635794-55636346
RPL21P123,17:29716280-29716725
RPL21P122,17:12010716-12011254
RPL21P118,16:74313036-74313383
RPL21P121,17:18313145-18313531
RPL21P116,15:78863212-78863771
RPL21P115,15:72134602-72135055
RPL21P114,15:59525385-59525924
RPL21P113,15:59049399-59049733
RPL21P111,13:78761134-78761686
RPL21P110,13:72703653-72704170
RPL21P109,13:71704140-71704693
RPL21P104,12:61775882-61776431
RPL21P108,13:74377545-74377991
RPL21P103,12:58244344-58244904
RPL21P102,12:24642653-24643198
RPL21P101,12:43560766-43561336
RPL21P100,12:12155223-12155804
RPL21P99,12:29658341-29658840
RPL21P96,11:103045203-103045739
RPL21P95,11:77868696-77869235
RPL21P94,11:6685846-6686411
RPL21P91,10:109807611-109808167
RPL21P90,10:95999734-96000286
RPL21P89,10:49815058-49815598
RPL21P88,10:43630947-43631414
RPL18AP14,X:104803869-104804497
RPL17P46,18:50823577-50824104
RPL17P42,17:35719907-35720426
RPL17P38,12:107719579-107720163
RPL17P48,20:62037392-62037976
RPL17P47,19:12142381-12142875
RPL17P45,18:40143926-40144504
RPL17P40,16:16094033-16094513
RPL17P37,12:118737924-118738530
RPL12P39,18:64072170-64072651
RPL12P36,16:58825897-58826346
RPL12P34,13:68654572-68655048
RPL12P31,11:35997148-35997766
RPL12P30,11:30368060-30368688
RPL12P26,10:117196125-117196732
RPS29P28,X:96195477-96195617
RPS26P57,X:124688504-124688838
RPS26P56,X:129408382-129408690
RPL7AP71,X:54223303-54224069
RPL7AP44,9:106978725-106979576
RPL39P24,9:132962462-132962771
RPL37P24,X:54147366-54147659
RPL36P18,X:115198399-115198796
RPL32P35,X:128838441-128838841
RPL31P63,X:68600072-68600517
RPL21P133,X:134607112-134607671
RPL21P132,X:101340589-101340975
RPL21P81,9:133338950-133339498
RPL17P49,X:12395821-12396028
RPL12P43,X:118146063-118146561
RPS4XP20,19:34022565-34023450
RPS4XP12,11:121250264-121250973
RPS29P22,17:28116239-28116406
RPS29P19,11:113751116-113751286
RPS28P8,13:42003432-42003636
RPS27P18,10:125473679-125473935
RPS27AP15,9:72741120-72741655
RPS27AP14,9:1164414-1164867
RPS27AP10,5:141588938-141589396
RPS27AP9,5:80498493-80499028
RPS27AP8,3:172225428-172225869
RPS27AP5,1:192716135-192716683
RPS25P9,10:70198963-70199298
RPS25P10,22:43092134-43092579
RPS24P18,18:26098794-26099335
RPS23P6,16:12081237-12081532
RPS21P7,20:5013473-5013724
RPS21P6,18:46722975-46723203
RPS18P13,19:18048629-18049134
RPS17P15,11:111105568-111105895
RPS16P6,11:64881535-64881945
RPS15P7,12:4324340-4324839
RPS15AP18,5:179933775-179934226
RPS15AP26,8:94688238-94688610
RPS15AP16,3:128798841-128799235
RPS12P18,10:79544079-79544356
RPS12P17,10:69161514-69161981
RPS12P16,10:34675613-34676128
RPS10P21,13:71913702-71914176
RPS10P19,11:46428601-46429381
RPS10P18,10:124490192-124490615
RPLP2P5,17:62381596-62382052
RPLP2P4,12:31897820-31898129
RPLP1P10,10:59088661-59089023
UBA52P9,18:27355422-27355764
UBA52P8,16:48334384-48334884
RPL37P18,10:34663877-34664101
RPL37P22,17:35076792-35077047
RPL37P20,12:7032108-7032398
RPL37AP6,7:107450090-107450362
RPL37AP4,6:163363198-163363474
RPL37AP2,4:51978082-51978372
RPL36P17,22:30105100-30105408
RPL36P15,12:116908312-116908631
RPL36AP21,5:18049535-18049915
RPL36AP25,6:20722281-20722570
RPL36AP19,4:112171183-112171578
RPL36AP20,5:152495718-152496017
RPL36AP18,4:76401224-76401619
RPL36AP16,2:69594684-69595086
RPL36AP17,3:35871858-35872216
RPL36AP15,2:47797758-47798136
RPL36AP14,2:46256860-46257175
RPL36AP13,2:24334480-24334781
RPL35AP19,8:121380093-121380530
RPL35AP18,6:79964215-79964522
RPL35AP17,5:146138761-146139040
RPL35AP16,5:146138134-146138381
RPL35AP15,5:117301107-117301442
RPL35AP12,4:163382179-163382516
RPL35AP14,5:62575975-62576271
RPL35AP11,4:94369771-94370200
RPL35AP10,3:160342687-160343015
RPL35AP6,1:246755511-246755832
RPL35AP9,3:158763370-158763805
RPL35AP8,3:42469607-42469915
RPL34P24,11:17137939-17138270
RPL34P20,10:97393174-97393582
RPL32P27,12:48903368-48903818
RPL30P13,12:40068240-40068658
RPL30P12,12:106910757-106911112
RPL30P11,12:14356865-14357137
RPL27P12,12:123721218-123721642
RPL27AP7,6:47752766-47753256
RPL27AP5,5:74990148-74990656
RPL27AP4,2:106304755-106305204
RPL27AP3,2:180938797-180939318
RPL23P11,10:33864313-33864723
RPL23AP36,2:203074685-203075131
RPL23AP35,2:186261365-186261790
RPL23AP34,2:28308151-28308570
RPL23AP33,2:184902108-184902562
RPL23AP23,1:235295860-235296383
RPL23AP22,1:193756814-193757277
RPL22P18,10:80125920-80126374
RPL22P17,10:102887786-102888216
RPL19P18,17:9589820-9590515
RPL19P17,12:12568124-12568798
RPL18P10,13:50099334-50099875
RPL18AP10,7:43274129-43274634
RPL17P35,10:64620380-64620922
RPL15P14,10:72189898-72190713
RPL14P4,12:95125738-95126423
RPL13AP15,6:119268917-119269735
RPL13AP14,5:83746361-83747011
RPL13AP12,2:202520393-202520992
RPL13AP11,1:204946568-204947194
RPL12P29,10:84389120-84389710
RPL12P28,10:5862198-5862671
RPL11P4,10:92596859-92597289
RPL11P3,10:87945480-87946080
RPSAP51,12:8742358-8743076
RPS6P21,12:131667480-131668281
RPS6P20,12:131292585-131293176
RPS3AP35,8:12628432-12629280
RPS3AP34,8:12570306-12571154
RPS3AP33,8:7190739-7191587
RPS3AP32,8:74055858-74056690
RPS3AP28,7:138490543-138491373
RPS3AP31,8:8095922-8096770
RPS3AP27,7:133732493-133733220
RPS3AP30,8:7122848-7123696
RPS3AP24,6:140761540-140762262
RPS2P54,20:47160801-47161700
RPS2P49,17:37140569-37141413
RPS2P52,19:690442-691211
RPS2P44,16:48577484-48578392
RPS2P42,12:15439504-15440441
RPS2P43,14:75838528-75839138
RPS2P41,12:111879680-111880253
RPS2P39,11:108690289-108690956
RPS2P36,10:96620877-96621707
RPS29P15,7:100928339-100928595
RPS26P36,8:143065850-143066154
RPS26P33,7:98478484-98478790
RPS26P37,9:95123501-95123938
RPS26P27,5:80855505-80855839
RPS21P5,9:110727449-110727679
RPS20P25,9:81410279-81410633
RPS20P21,8:73981992-73982510
RPS20P20,8:71895995-71896332
RPS20P24,9:72655800-72656310
RPS20P18,6:110700444-110700923
RPS17P17,X:140470866-140471274
RPL9P33,19:51621142-51621701
RPL9P31,18:58631232-58631815
RPL9P26,15:26851114-26851610
RPL7P51,19:51648838-51649677
RPL7P45,13:104814311-104815135
RPL7P43,12:76721518-76722360
RPL7P42,12:68685780-68686308
RPL7P41,12:52885759-52886409
RPL7P49,17:76430351-76431144
RPL7P40,12:17121716-17122460
RPL7P36,10:99047623-99048369
RPL7P39,12:64867888-64868719
RPL7P35,10:110550046-110550873
RPL7AP42,7:111971164-111972025
RPL7AP41,7:25212164-25212985
RPL7AP48,9:20532526-20533399
RPL7AP47,9:14204218-14205095
RPL7AP35,6:105298141-105298925
RPL7AP28,4:131857340-131857907
RPL6P28,22:44901571-44902450
RPL5P32,15:27895660-27896640
RPL5P26,10:69778890-69779896
RPL5P25,10:13057890-13058725
RPL37P17,9:130724779-130725060
RPL31P41,8:65155407-65155778
RPL31P36,7:131520114-131520477
RPL31P27,6:143327234-143327625
RPL31P42,9:17108301-17108634
RPL31P40,8:68293537-68293816
RPL31P24,4:88163539-88163935
RPL31P34,7:6490741-6491101
RPL30P15,X:13574641-13575071
RPL26P20,6:75499705-75500142
RPL21P86,9:92676897-92677447
RPL21P85,9:88484852-88485321
RPL21P79,8:53533285-53533738
RPL21P84,9:78180180-78180693
RPL21P83,9:37490389-37490933
RPL21P78,8:133002577-133003115
RPL21P74,7:96283313-96283853
RPL21P77,8:22389835-22390286
RPL21P73,7:138646097-138646490
RPL21P72,7:3338085-3338626
RPL21P67,6:131469019-131469568
RPL21P66,6:132518810-132519331
RPL21P65,6:106642420-106642959
RPL21P64,6:128639188-128639653
RPL21P63,6:10574712-10575239
RPL21P60,5:177264726-177265274
RPL21P59,5:165905084-165905637
RPL21P58,5:119547099-119547645
RPL21P57,5:154729189-154729711
RPL21P56,5:31840457-31841001
RPL21P55,5:67608613-67609160
RPL21P51,4:165012326-165012885
RPL21P54,5:34883077-34883519
RPL21P50,4:123745713-123746267
RPL21P49,4:102662581-102663116
RPL21P48,4:98409250-98409796
RPL21P47,4:62248294-62248770
RPL21P43,3:168858622-168859172
RPL21P42,3:154023796-154024337
RPL21P32,2:185956587-185957052
RPL21P31,2:175033785-175034234
RPL21P41,3:66637149-66637542
RPL21P40,3:32030154-32030711
RPL21P30,2:54029480-54029867
RPL17P31,8:67406495-67407107
RPL17P30,8:42101318-42101840
RPL17P29,8:11175010-11175616
RPL17P24,6:154216911-154217524
RPL17P23,6:127435621-127436223
RPL17P21,5:52903908-52904478
RPL17P19,4:61211652-61212200
RPSAP60,X:152045244-152046270
RPSAP59,X:103206009-103206899
RPL7P55,X:93573832-93574654
RPL7P54,X:78763142-78763969
RPL7P53,X:73535503-73536241
RPS27AP6,1:150881204-150881730
RPS15AP8,1:42412352-42412824
RPS15AP7,1:62190492-62190971
RPS15AP6,1:21003511-21003964
RPL36AP10,1:88577845-88578288
RPL36AP9,1:41264418-41264879
RPL23AP17,1:41098799-41099183
RPL13AP9,1:62640920-62641743
RPS6P19,12:101228100-101228917
RPS6P18,12:2659896-2660546
RPS4XP10,8:94352921-94353715
RPS4XP5,2:63643192-63644068
RPS3AP23,6:141635720-141636503
RPS3AP17,4:29963039-29963756
RPS3AP9,1:188694295-188695155
RPS3AP8,1:183266500-183267271
FAUP3,4:188106558-188106914
FAUP2,3:181242617-181242950
RPS29P5,1:175921944-175922231
RPS29P4,1:175297080-175297241
RPS29P13,6:117048592-117048852
RPS28P5,2:74754670-74754819
RPS28P2,1:212855169-212855366
RPS27P16,7:30167828-30168004
RPS27P15,6:73618312-73618654
RPS27P12,3:129218036-129218372
RPS27P5,1:226781501-226781745
RPS27P11,3:27624145-27624489
RPS26P34,8:81627247-81627799
RPS26P24,4:57352999-57353329
RPS26P22,3:124733418-124733754
RPS26P30,7:20843630-20843967
RPS26P19,2:127846731-127847080
RPS26P26,5:75374437-75375009
RPS26P18,2:15397366-15397808
RPS26P23,4:122840349-122840690
RPS26P13,1:208697283-208697720
RPS26P21,3:119298665-119299012
RPS26P12,1:174922101-174922434
RPS25P7,6:3913876-3914321
RPS25P5,3:149357123-149357604
RPS25P3,2:20606280-20606654
RPS25P2,1:211173418-211173897
RPS24P12,6:107229759-107230152
RPS24P10,3:15131836-15132203
RPS24P5,1:180000438-180000839
RPS23P5,5:13250235-13250662
RPS23P4,4:145269810-145270131
RPS23P3,4:66431092-66431521
RPS21P1,1:235432947-235433232
RPS20P23,8:100776512-100776868
RPS20P17,5:177346068-177346460
RPS20P22,8:38434348-38434851
RPS20P16,5:96942895-96943222
RPS20P15,3:27462506-27462819
RPS20P13,2:148869988-148870506
RPS20P12,2:234329402-234329873
RPS20P11,2:112621773-112622281
RPS20P10,2:71984141-71984471
RPS20P9,2:62939873-62940322
RPS20P8,1:203000055-203000339
RPS19P6,9:80782332-80782770
RPS18P11,8:70424087-70424619
RPS18P6,3:95171909-95172404
RPS18P4,1:167591349-167591876
RPS17P14,8:108379159-108379545
RPS17P13,7:37116808-37117185
RPS17P11,5:52282511-52282862
RPS17P10,3:143855692-143856165
RPS17P8,2:192774198-192774469
RPS17P7,2:121309996-121310416
RPS16P4,3:37196234-37196669
RPS16P3,2:141208082-141208435
RPS14P7,4:160818422-160818854
RPS14P2,1:178411584-178412063
RPS14P1,1:206695782-206696302
RPS13P6,5:134267386-134267900
RPS13P5,2:24968883-24969237
RPS13P4,2:23900693-23901149
RPS12P15,8:102503755-102504138
RPS12P14,6:47562535-47563043
RPS12P13,6:108856353-108856737
RPS12P10,5:142566700-142567082
RPS12P7,3:158496566-158496929
RPS12P6,3:78758978-78759369
RPS12P5,3:29390815-29391241
RPS11P4,9:32727066-32727464
RPS10P16,8:117523217-117523726
RPLP1P9,8:26771796-26772129
RPLP0P7,2:156777689-156778451
RPL9P24,12:101936216-101936674
RPL8P5,22:19887289-19887970
RPL7AP29,4:3323925-3324782
RPL7AP25,3:181505009-181505895
RPL7AP24,3:155760562-155761223
RPL7AP23,3:82319122-82319808
RPL7AP22,2:158548404-158549274
RPL7AP21,1:168578601-168579463
RPL7AP20,1:206528893-206529766
RPL7AP19,1:168542706-168543356
RPL6P26,17:44719737-44720615
RPL6P24,10:13591420-13592342
RPL4P6,22:40586615-40588023
UBA52P5,8:123236813-123237312
UBA52P4,3:27486207-27486697
RPL39P22,5:36588469-36588855
RPL39P19,3:187120954-187121349
RPL39P18,3:20012403-20012801
RPL39P17,3:13052771-13053175
RPL39P16,2:108878308-108878463
RPL39P11,1:179270927-179271282
RPL37P16,7:128433370-128433749
RPL37P15,6:70098389-70098682
RPL37P14,4:40491735-40492025
RPL37P13,2:62507542-62507823
RPL37P12,2:109552509-109552894
RPL37P11,2:26678173-26678537
RPL37P10,2:83594983-83595246
RPL37P8,1:244694379-244694748
RPL36P13,7:114297067-114297462
RPL36P12,7:105244622-105245015
RPL36P10,6:46438310-46438613
RPL36P7,3:197580350-197580629
RPL36P9,6:35607593-35607980
RPL36P6,1:241305603-241305889
RPL35P6,8:18774547-18774963
RPL35P4,7:27269315-27269753
RPL34P10,3:185606575-185606874
RPL34P18,8:93957305-93957720
RPL34P9,3:120512817-120513230
RPL34P17,8:52313141-52313544
RPL34P15,6:162957230-162957612
RPL34P8,2:111675026-111675343
RPL34P6,1:200863774-200864200
RPL34P13,5:134804742-134805168
RPL34P12,4:122815782-122816117
RPL34P5,1:153995593-153995995
RPL32P14,5:19041036-19041368
RPL32P13,4:112738615-112739155
RPL32P9,3:150150482-150151014
RPL32P8,3:149432905-149433594
RPL31P29,6:154605625-154605928
RPL31P22,3:195349675-195350030
RPL31P21,3:141258418-141258779
RPL31P25,4:21656523-21656848
RPL31P20,3:24430766-24431108
RPL31P19,3:17465131-17465480
RPL31P15,2:182788073-182788418
RPL31P13,1:213428717-213429064
RPL30P10,8:57392546-57392882
RPL30P9,8:20113336-20113657
RPL30P6,4:95644952-95645290
RPL30P7,5:10488752-10489177
RPL30P5,4:83502699-83503034
RPL30P3,2:9081393-9081795
RPL30P2,2:152131498-152131889
RPL30P1,1:174090134-174090472
RPL29P14,5:149545270-149545844
RPL29P7,1:168938417-168939044
RPL28P2,2:231789486-231789886
RPL27P9,3:58511310-58511687
RPL27P5,2:63108096-63108429
RPL26P18,5:157422404-157422924
RPL26P26,8:58113141-58113663
RPL26P25,8:36987930-36988457
RPL26P15,2:46003913-46004415
RPL24P8,9:70217157-70217706
RPL23P10,8:36581197-36581588
RPL23P4,2:219697813-219698214
RPL22P14,6:89876489-89876932
RPL22P16,7:4865368-4865824
RPL22P8,2:107914889-107915494
RPL21P36,2:36299359-36299884
RPL21P35,2:231559848-231560397
RPL21P34,2:128217553-128218109
RPL21P33,2:60852220-60852785
RPL21P27,1:165676272-165676816
RPL19P14,8:98782012-98782710
RPL19P11,5:31053523-31054235
RPL19P10,5:171344967-171345662
RPL19P6,3:142043544-142044225
RPL18P7,8:113376634-113377290
RPL18P5,7:137164031-137164648
RPL17P17,3:65843877-65844474
RPL17P32,8:105287841-105288365
RPL17P14,2:229003886-229004382
RPL17P28,7:139049456-139050006
RPL17P13,2:149439897-149440427
RPL17P12,2:146194296-146194821
RPL17P11,2:233721492-233722110
RPL17P10,2:201102493-201102978
RPL15P8,4:128068699-128069648
RPL15P6,3:158275512-158276457
RPL14P2,3:62779159-62779810
RPL13P8,3:108543374-108543875
RPL13P9,5:83201229-83201761
RPL12P25,9:477780-478396
RPL12P23,6:170199790-170200235
RPL12P24,8:105737280-105737756
RPL12P20,4:41389115-41389593
RPL12P22,5:174039751-174040222
RPL12P21,5:139035107-139035645
RPL12P15,2:121658423-121659060
RPSAP42,6:137995270-137996147
RPSAP41,6:73290550-73291335
RPSAP40,6:148647624-148648671
RPSAP35,4:117413462-117414281
RPSAP37,5:125966738-125967502
RPS7P12,X:134650783-134651444
RPS2P25,5:85762499-85763266
RPS2P24,5:77545371-77546303
RPS2P30,7:28615097-28615864
RPS2P23,5:65415333-65416259
RPL7P31,7:34711103-34711482
RPL7P30,7:84528117-84528830
RPL6P12,4:169166254-169167152
RPL5P19,6:92013834-92014638
RPS3AP12,1:119126495-119127311
RPS3AP11,1:42491715-42492513
RPS29P6,1:37330852-37330979
RPS26P14,1:51980446-51980887
RPS20P7,1:81596115-81596626
RPS20P6,1:101256276-101256659
RPS20P5,1:57605813-57606326
RPS11P3,1:151758081-151758432
RPL7AP17,1:100586604-100587460
RPL7AP16,1:45650978-45651850
RPL7AP15,1:147223533-147224404
RPL39P9,1:99842561-99842962
RPL39P8,1:112890589-112890971
RPL39P7,1:25888917-25889304
RPL39P6,1:11232910-11233313
RPL37P7,1:53841548-53841842
RPL34P4,1:26326641-26327042
RPL32P6,1:26983595-26984079
RPL31P12,1:72301445-72301871
RPL26P10,1:114459892-114460404
RPL26P9,1:97585866-97586300
RPL26P8,1:24563597-24563971
RPL26P7,1:9662288-9662628
RPL21P26,1:94406387-94406922
RPL21P25,1:48497257-48497736
RPL21P23,1:56538412-56538957
RPL21P22,1:31108101-31108663
RPL21P21,1:10054412-10054781
RPSAP34,4:108407839-108408561
RPSAP23,2:115467985-115468953
RPSAP22,2:85490925-85491780
RPSAP17,1:154378126-154379164
RPSAP16,1:179968595-179969581
RPS8P6,3:308717-309319
RPS7P7,4:42471775-42472393
RPS7P6,4:17427667-17428349
RPS7P2,1:154079422-154079965
RPS6P12,9:82744055-82744792
RPS6P11,9:4633032-4633770
RPS6P10,9:19200323-19201055
RPS6P2,2:179002118-179002772
RPS3P4,6:7338831-7339598
RPS2P22,5:41894939-41895668
RPS2P16,2:201762714-201763610
RPS2P19,3:159386756-159387433
RPS2P15,2:26101317-26102136
RPL9P15,3:154676588-154677132
RPL9P13,2:139732708-139733288
RPL9P10,1:234284951-234285656
RPL8P3,3:142827061-142827728
RPL7P19,5:138473744-138474417
RPL7P18,5:94825890-94826715
RPL7P17,4:77082399-77083113
RPL7P15,3:124151881-124152562
RPL6P7,3:155657743-155658644
RPL6P9,3:142581289-142581978
RPL6P21,7:14070501-14071399
RPL6P6,2:210088226-210089064
RPL6P5,2:145337233-145338063
RPL6P15,5:133172218-133173042
RPL5P24,8:102923313-102924329
RPL5P23,8:42341709-42342683
RPL5P17,5:85464372-85465372
RPL5P21,6:129756333-129757112
RPL5P16,5:82777797-82778593
RPL5P15,5:58822441-58823248
RPL5P14,5:31847230-31848217
RPL5P13,4:142286917-142287625
RPL5P12,4:98025343-98026324
RPL5P9,2:110967776-110968780
RPL39P12,1:1008060-1008290
RPL37P9,1:6834282-6834637
RPS2P14,1:113698884-113699606
RPS2P13,1:37840845-37841680
RPL9P12,1:52189905-52190309
RPL7P11,1:8750410-8751091
RPSAP63,X:133762720-133763753
RPL7AP72,X:128313281-128314048
RPL21P112,13:94760514-94761053
RPS24P7,2:61803026-61803533
RPS24P17,16:56906498-56907023
RPS24P16,15:67232407-67232909
RPS24P6,2:94912411-94912900
RPS24P13,10:32231780-32232283
RPS24P8,3:45159705-45160214
RPS27P24,12:63760303-63760643
RPL34P16,6:5788310-5788730
RPL21P80,8:34874120-34874680
RPS14P5,2:87654855-87655376
RPL26P14,2:147801847-147810564
RPL39P27,12:25409110-25409494
RPL32P28,13:62327884-62328396
RPL11P1,2:64960008-64960616
RPL32P34,19:5277681-5278184
RPL12P41,19:46219335-46219966
RPL13P10,5:181065155-181065680
RPL6P8,3:160579267-160585787
RPS9P3,5:98954369-98955009
RPL18AP7,3:38526746-38527362
RPL7P4,6:30696746-30697536
RPS8P3,18:51844950-51845634
RPS21P3,4:78768453-78768804
RPL37AP3,6:108817680-108817926
RPS21P2,2:106288749-106289100
RPL13AP19,10:48745520-48746152
RPL13AP10,1:114001433-114003343
RPL15P21,17:10860480-10861498
RPL7AP45,9:41479933-41480534
RPS2P28,6:43363415-43364219
RPL17P41,17:67784733-67785331
RPL26P33,12:50365610-50366130
RPS29P16,7:103348571-103348852
RPS24P9,3:125787648-125788250
RPS27P6,1:109030031-109030376
RPL22P5,1:143929936-143930402
RPS15AP28,10:69300393-69300847
RPS14P4,2:111295556-111296081
RPS29P8,2:148595127-148595415
RPS10P28,19:42669978-42670861
RPL38P3,4:54976115-54976397
RPS27P29,19:23597307-23597649
RPL32P15,6:41308123-41308626
RPL36AP44,15:60390338-60390734
RPL39P14,2:202231648-202232044
RPL35AP5,1:203835502-203835983
RPL9P14,2:208031291-208031973
RPS19P4,5:53413841-53414264
RPL22P6,1:121141992-121142458
RPS29P10,2:61589493-61589663
RPL29P8,2:176807034-176809748
RPL15P12,8:129864469-129865363
RPS3P5,6:99575682-99576464
RPL35AP13,5:72878824-72879260
RPL5P20,6:19348114-19349133
RPS27P21,12:42678817-42679158
RPL3P11,9:14040657-14041887
RPS2P9,1:198949147-198949842
RPL23AP83,X:56242890-56243412
RPL6P18,6:23102659-23103577
RPL26P29,10:68424560-68424997
RPS27P7,1:173741642-173741987
RPS12P12,6:17953569-17953942
RPL19P3,1:63788641-63789334
RPL21P87,9:110024841-110025398
RPS4XP22,19:9683239-9684096
RPS27P9,1:37556214-37556553
RPS6P4,3:163102039-163116154
RPL5P28,10:133143507-133145350
RPL19P7,3:98620076-98620696
RPL26P6,10:73422216-73422738
RPL21P38,2:171587050-171587606
RPSAP62,X:53323027-53323718
RPS6P9,8:103768240-103769063
RPS27P22,12:22722229-22722469
RPS6P14,10:48292711-48293417
RPL39P32,17:35566464-35566869
RPL36AP1,14:56683377-56683773
RPL3P12,X:122538232-122539516
RPL32P4,8:86043037-86043543
RPL15P13,10:114900665-114901394
RPL18P6,8:109899168-109903153
RPS19P5,6:110562140-110562643
RPL9P27,15:40480651-40481343
RPL30P4,3:32635171-32635622
RPL6P17,6:15102946-15104211
RPL29P16,6:44089128-44089751
RPL21P28,1:212051486-212052051
RPS29P12,5:180945726-180945987
RPSAP39,4:80161053-80162081
RPL39P20,5:80315622-80316021
RPLP0P8,3:68633657-68634356
RPL23AP19,1:8831113-8831432
RPLP1P11,17:16044492-16044996
RPL7P12,2:38231548-38232383
RPS8P5,3:57530293-57530973
RPS4XP15,12:87944886-87950818
RPL9P23,11:41536125-41538986
RPL26P28,10:5304380-5304901
RPS2P35,9:100116716-100117674
RPL5P33,17:50847934-50849653
RPL22P22,X:82506234-82506833
RPS17P9,3:129985092-129998936
RPL39P13,1:91600118-91600507
RPL29P27,12:28564561-28565171
RPS3AP22,5:88381921-88382771
RPS15AP15,2:65511768-65512146
RPS27P23,12:101424408-101424751
RPS8P9,9:34223931-34224651
RPL34P26,13:50361378-50361811
RPSAP38,5:41951240-41952086
RPL23P3,1:78666271-78666697
RPL15P22,22:26886854-26887577
RPL23AP68,12:87170036-87180833
RPL31P26,4:147426004-147426363
RPL5P8,2:214280589-214281524
RPS12P26,15:90206482-90206988
RPL3P5,2:236407790-236409103
RPL12P16,2:203190692-203191319
RPS27AP12,7:157192326-157192862
RPS7P13,X:95679099-95679731
RPL21P92,10:67793729-67794279
RPL9P20,8:17150203-17150909
RPL13P14,20:46863545-46864098
RPS6P5,4:64767106-64767938
RPS27AP13,8:53887008-53887479
RPL34P11,3:28447694-28448115
RPS5P2,21:34135377-34136128
UBA52P6,9:22012115-22012622
RPL13P11,8:70506219-70506863
RPS12P31,19:32636078-32636475
RPS24P19,X:133670932-133671453
RPS27P13,4:22594160-22594507
RPL9P22,11:84639965-84640659
RPL36AP12,1:100651914-100652317
RPL5P27,10:116749864-116751332
RPL38P2,2:77792756-77793076
RPL39P10,1:239052568-239052958
RPS10P31,22:45275561-45276135
RPL34P14,6:43328006-43328509
RPL10P10,6:54602589-54603216
RPL31P5,14:63567912-63568280
RPL15P4,6:31528072-31528721
RPS27P19,11:117035740-117036086
RPS29P11,4:25678818-25679109
RPL31P49,12:110460960-110461335
RPL30P14,18:61404826-61405275
RPL37AP5,7:139227471-139227859
RPL22P7,2:129939792-129940238
RPL24P6,3:195554570-195555127
RPL12P37,17:80976399-80976990
RPL13AP21,12:46004026-46004685
RPL13P13,19:56216974-56217830
RPL17P26,6:56871171-56871783
RPL7P14,2:203040105-203040719
RPS6P15,10:111498176-111498941
RPS13P3,2:42469791-42470313
RPL21P125,17:3665177-3665740
RPL18P8,11:39161440-39161973
RPL17P18,3:197850362-197850976
RPS26P55,19:34533358-34534113
RPL5P35,22:49757563-49759049
RPL18P9,12:4109496-4119955
RPL9P19,7:8938784-8939454
RPS29P14,7:33036212-33036382
RPL29P24,12:120522547-120523451
RPL17P44,18:62415657-62416257
RPS10P27,18:23672204-23672785
RPL13AP16,7:105819470-105820127
RPS26P38,10:87642579-87643023
RPS29P21,17:59912167-59912447
RPL26P23,7:156633314-156633820
RPL19P12,7:103141270-103142403
RPL18P2,1:182328458-182329058
RPL31P16,2:37194394-37194759
RPL12P42,19:13157910-13158874
RPS29P17,9:35592755-35593044
RPL23P9,8:104981137-104984885
RPL18P3,5:121616215-121616857
RPL9P29,17:78845847-78846437
RPL29P20,9:112173414-112174013
RPL31P14,2:216785800-216786179
RPS20P32,13:27017517-27018028
RPS15AP39,X:41748183-41748661
RPS27P14,5:69469852-69470187
RPS15AP12,1:220143918-220144376
