Gene,Coordinates
FAM126A,7:22973830-23053749
KLHL7-DT,7:23140847-23145322
KLHL7,7:23145404-23217533
AK3P3,7:23168719-23169535
NUP42,7:23221667-23240625
GPNMB,7:23286394-23314727
MALSU1,7:23338958-23351348
IGF2BP3,7:23349828-23510110
SNORD65C,7:23436065-23436135
RNU7-143P,7:23490277-23490341
LOC389473,7:23520260-23522185
RPS2P32,7:23530007-23531047
TRA2A,7:23544399-23571600
LOC442517,7:23601883-23604012
CLK2P1,7:23624335-23626146
CCDC126,7:23637001-23684327
FCF1P1,7:23658927-23662512
FAM221A,7:23719818-23742269
STK31,7:23749838-23872132
PCMTD1P3,7:23760729-23761428
TPT1P7,7:23850858-23851261
RNA5SP228,7:24172324-24172456
NPY,7:24323809-24331481
RNU6-1103P,7:24576951-24577057
MPP6,7:24613071-24733812
SUMO2P14,7:24628734-24629026
GSDME,7:24737974-24797558
OSBPL3,7:24836156-25019797
SNRPCP19,7:24945651-24946243
CYCS,7:25158275-25164879
C7orf31,7:25174311-25219973
RPL7AP41,7:25251783-25252604
NPVF,7:25264189-25268105
TSEN15P3,7:25304959-25305909
LOC646588,7:25632921-25829739
UBA52P1,7:25729116-25729608
MIR148A,7:25989539-25989606
NFE2L3,7:26191818-26226757
HNRNPA2B1,7:26229547-26240366
CBX3,7:26241063-26253227
RPL23P7,7:26315805-26316286
SNX10,7:26331482-26414003
LOC105375304,7:26411639-26439038
LOC441204,7:26438189-26580569
KIAA0087,7:26572740-26578444
LINC02860,7:26677490-26686891
SKAP2,7:26706687-26904209
RPL7AP38,7:26961727-26962585
HMGB3P20,7:27022123-27023031
TPM3P4,7:27063282-27066109
NHP2P2,7:27087754-27088497
HOXA1,7:27132612-27135619
HOTAIRM1,7:27135713-27139877
HOXA2,7:27139973-27142302
HOXA3,7:27146629-27192202
HOXA-AS2,7:27161538-27168379
HOXA4,7:27168144-27170376
HOXA-AS3,7:27179983-27195547
HOXA5,7:27180671-27183300
HOXA6,7:27185015-27187393
HOXA7,7:27193335-27196294
HOXA10-HOXA9,7:27202057-27219880
HOXA9,7:27202057-27205156
HOXA10-AS,7:27208518-27211534
MIR196B,7:27209099-27209182
HOXA10,7:27210224-27219480
HOXA11,7:27220776-27224851
HOXA11-AS,7:27225027-27228912
HOXA13,7:27233983-27239710
HOTTIP,7:27240040-27246878
EVX1-AS,7:27281048-27286848
EVX1,7:27282421-27287449
RPL35P4,7:27308934-27309372
EIF4HP1,7:27495994-27498494
PSMC1P2,7:27501330-27502808
LOC442292,7:27531101-27532394
HIBADH,7:27565061-27702502
TSL,7:27655593-27667111
TAX1BP1,7:27778992-27869386
JAZF1,7:27870196-28220414
RNU6-979P,7:28157732-28157838
JAZF1-AS1,7:28220076-28280996
PPIAP80,7:28318629-28319361
CREB5,7:28338940-28865511
RPS2P30,7:28654714-28655481
TRIL,7:28992974-28997946
LOC100506497,7:29019583-29052985
CPVL,7:29034252-29235067
LOC101928168,7:29164649-29167788
CHN2,7:29186163-29553951
CHN2-AS1,7:29238656-29248586
NANOGP4,7:29251729-29253503
GTF3C6P3,7:29591126-29591840
PRR15,7:29603451-29606911
TMSB4XP3,7:29665480-29665617
LOC646762,7:29685538-29724754
MIR550A3,7:29720350-29720444
ZNRF2P2,7:29724388-29725437
DPY19L2P3,7:29724770-29782237
WIPF3,7:29846124-29956677
SCRN1,7:29959719-30029905
FKBP14,7:30050203-30066318
PLEKHA8,7:30068028-30170099
MTURN,7:30174602-30202378
RPS27P16,7:30207444-30207620
LOC105375218,7:30287043-30325701
ZNRF2,7:30324213-30407305
MIR550B1,7:30329410-30329506
MIR550A1,7:30329410-30329506
DKFZP586I1420,7:30409666-30412425
LINC01176,7:30430501-30443671
NOD1,7:30464143-30518400
GGCT,7:30536237-30544445
LOC100287825,7:30562760-30571836
GARS1-DT,7:30587973-30617395
GARS1,7:30634351-30673649
CRHR2,7:30691558-30739719
INMT-MINDY4,7:30791751-30932002
INMT,7:30791751-30797218
MINDY4,7:30811033-30932002
OSBPL9P6,7:30928715-30930482
AQP1,7:30951468-30965131
GHRHR,7:31003568-31019143
ADCYAP1R1,7:31091923-31151088
NEUROD6,7:31377079-31380340
ITPRID1,7:31553704-31698334
PPP1R17,7:31726829-31748069
PDE1C,7:31790793-32467836
SNX2P2,7:31980874-31981193
LOC100130673,7:32496509-32498106
SLC25A5P5,7:32511041-32512613
LSM5,7:32524950-32534895
AVL9,7:32535101-32628338
DPY19L1P1,7:32620551-32758780
ZNRF2P1,7:32767562-32769595
MIR550A2,7:32772593-32772689
MIR550B2,7:32772593-32772689
LINC00997,7:32797898-32802536
DPY19L1P2,7:32865914-32878356
KBTBD2,7:32907784-32931372
RP9P,7:32956427-32982782
FKBP9,7:32997052-33046540
RNU6-388P,7:33041562-33041666
NT5C3A,7:33053725-33102388
RPS29P14,7:33075824-33075994
RN7SL505P,7:33085410-33085702
RP9,7:33134409-33149016
BBS9,7:33168897-33675379
RNA5SP229,7:33217352-33217450
LOC100421336,7:33419561-33420478
FLJ20712,7:33765593-33768216
BMPER,7:33944527-34196039
RNU6-438P,7:34337108-34337210
NPSR1-AS1,7:34386124-34873943
NPSR1,7:34697830-34917944
RPL7P31,7:34750715-34751094
NCAPD2P1,7:34789665-34791657
RN7SL132P,7:34793036-34793331
DPY19L1,7:34968493-35077653
MIR548N,7:34980372-34980446
DPY19L2P1,7:35120899-35225774
S100A11P2,7:35208787-35209316
TBX20,7:35242042-35293711
LOC401324,7:35353466-35416086
HERPUD2,7:35672269-35734745
HERPUD2-AS1,7:35734816-35739023
LOC100506725,7:35756047-35759322
SEPTIN7-DT,7:35794574-35840235
LOC442293,7:35805268-35808262
SEPTIN7,7:35840596-35946720
RNU6-1085P,7:35969768-35969874
LOC100419774,7:35973498-35974179
SEPTIN7P3,7:35985900-36014502
PPP1R14BP4,7:36010560-36011372
LOC101928618,7:36134920-36140263
MARK2P13,7:36148634-36150482
MARK2P7,7:36186443-36187634
EEPD1,7:36192863-36341147
KIAA0895,7:36363761-36429966
ANLN,7:36429471-36493400
AOAH,7:36552549-36764099
AOAH-IT1,7:36637440-36639726
NPM1P18,7:36858468-36859623
ELMO1,7:36892511-37488929
MIR1200,7:36958962-36959037
ELMO1-AS1,7:37037401-37053235
RPS17P13,7:37156413-37156790
RNU6-565P,7:37390747-37390846
RPS10P14,7:37415090-37415676
NECAP1P1,7:37622458-37626037
GPR141,7:37723369-37783437
GPR141BP,7:37835795-37836478
NME8,7:37888199-37939999
SFRP4,7:37945534-37956419
EPDR1,7:37960242-37991538
STARD3NL,7:38217847-38270270
TRG,7:38279625-38407656
TRGC2,7:38279625-38289173
TRGJ2,7:38292981-38293030
TRGJP2,7:38295938-38295997
TARP,7:38299244-38313237
TRGC1,7:38299689-38305279
TRGJ1,7:38309092-38309141
TRGJP,7:38313188-38313249
TRGJP1,7:38315860-38315919
TRGV11,7:38331217-38331679
TRGVB,7:38335364-38335834
TRGV10,7:38339411-38339881
LOC103689914,7:38350909-38351579
TRGV9,7:38356618-38357093
TRGVA,7:38362047-38362464
TRGV8,7:38369944-38370422
TRGV7,7:38374642-38375115
TRGV6,7:38380301-38380772
TRG-AS1,7:38381178-38418238
TRGV5P,7:38384631-38385100
TRGV5,7:38388956-38389425
TRGV4,7:38393316-38393784
TRGV3,7:38398113-38398580
TRGV2,7:38402465-38402929
TRGV1,7:38407187-38407656
AMPH,7:38423305-38670973
RN7SL83P,7:38570642-38570938
KRT8P20,7:38694744-38696462
FAM183BP,7:38724946-38726689
VPS41,7:38762574-38948791
POU6F2,7:39017509-39508200
POU6F2-AS2,7:39019495-39053167
SNORA20B,7:39368602-39368733
POU6F2-AS1,7:39444197-39445945
YAE1,7:39606003-39651688
LOC100101126,7:39607217-39609830
LOC646999,7:39649227-39651710
RALA,7:39663171-39747719
LINC00265,7:39773167-39834222
RNU6-719P,7:39807940-39808043
CICP22,7:39836194-39838036
LOC100422519,7:39872885-39873392
SSBL3P1,7:39872970-39874514
RWDD4P2,7:39892296-39894859
RN7SL496P,7:39927974-39928263
LOC112267983,7:39987120-39989018
CDK13,7:39989855-40139179
HIGD1AP7,7:40155223-40155740
MPLKIP,7:40165626-40174221
SUGCT,7:40174604-40900362
THUMPD3P1,7:40192025-40193963
LINC01450,7:41004277-41019537
LINC01449,7:41141202-41173099
INHBA,7:41724712-41742688
INHBA-AS1,7:41733517-41818976
GLI3,7:42000547-42276808
HMGN2P30,7:42152855-42154038
LINC01448,7:42701325-42746046
TCP1P1,7:42834371-42836458
C7orf25,7:42948872-42951689
PSMA2,7:42956460-42971773
MRPL32,7:42971975-42977456
HECW1,7:43152246-43605600
HECW1-IT1,7:43157495-43202786
MIR3943,7:43190494-43190593
RNU7-35P,7:43234021-43234081
RNU6-575P,7:43247361-43247465
RPL18AP10,7:43313728-43314233
LUARIS,7:43548327-43562141
STK17A,7:43622707-43666978
COA1,7:43648056-43769122
BLVRA,7:43798279-43846941
URGCP-MRPS24,7:43906157-43946195
MRPS24,7:43906157-43909116
URGCP,7:43915512-43966325
TUBG1P,7:43958241-43959854
UBE2D4,7:43966035-43995735
POLR2J4,7:43980494-44058793
SPDYE1,7:44037467-44049723
RASA4CP,7:44068486-44080222
LINC00957,7:44078648-44083895
DBNL,7:44084301-44109055
MIR6837,7:44091365-44091428
PGAM2,7:44102326-44105166
POLM,7:44111661-44122129
MIR6838,7:44112977-44113032
AEBP1,7:44143944-44154159
MIR4649,7:44150448-44150511
POLD2,7:44154279-44163147
RNA5SP230,7:44165351-44165472
MYL7,7:44178463-44180931
GCK,7:44182812-44229038
YKT6,7:44240577-44253893
CAMK2B,7:44256753-44365193
NUDCD3,7:44418718-44530257
RPL32P18,7:44507443-44507948
RNU6-1097P,7:44543372-44543478
RPL36AP27,7:44550571-44550952
NPC1L1,7:44552134-44580929
DDX56,7:44605403-44613507
TMED4,7:44617493-44621830
OGDH,7:44646226-44748665
ZMIZ2,7:44788170-44809480
PPIA,7:44836280-44842716
H2AZ2,7:44866488-44887725
PURB,7:44915898-44925129
MIR4657,7:44921347-44921399
MRPS23P1,7:44959723-44960271
MYO1G,7:45002261-45018614
SNHG15,7:45022622-45026295
SNORA9,7:45024977-45025109
CCM2,7:45039345-45116069
NACAD,7:45120036-45128568
TBRG4,7:45139699-45151296
SNORA5A,7:45143948-45144081
SNORA5C,7:45144505-45144641
SNORA5B,7:45145567-45145698
RAMP3,7:45197390-45223849
LOC100419775,7:45343219-45343961
ELK1P1,7:45431223-45431851
ADCY1,7:45613739-45762715
SEPTIN7P2,7:45763386-45808617
RNU6-241P,7:45829184-45829287
LOC730234,7:45844828-45847509
CICP20,7:45854925-45858657
SEPTIN14P7,7:45860519-45863104
RNU6-326P,7:45883233-45883336
IGFBP1,7:45928087-45933259
IGFBP3,7:45951844-45960871
RNU7-76P,7:46014981-46015037
FTLP15,7:46036986-46037873
TTC4P1,7:46039112-46040420
ZNF619P1,7:46184172-46185366
HMGN1P19,7:46674212-46674544
LOC730338,7:46727477-46736720
EPS15P1,7:46821588-46823018
MRPL42P4,7:47065720-47066070
LOC647145,7:47092042-47094631
TNS3,7:47314752-47621709
SNORD151,7:47504318-47504401
LINC01447,7:47661537-47669491
C7orf65,7:47694842-47701246
LINC00525,7:47801074-47806370
PKD1L1,7:47814212-47988063
C7orf69,7:47834889-47859445
HUS1,7:48002885-48019212
SUN3,7:48026745-48068704
C7orf57,7:48075140-48100894
UPP1,7:48128301-48148333
ABCA13,7:48211055-48687093
CDC14BL,7:48885955-48887526
GDI2P1,7:48941352-48943599
CDC14C,7:48964143-48967050
DDX43P2,7:49298114-49299376
VWC2,7:49813234-49961546
ZPBP,7:49977037-50132842
GNL2P1,7:49981806-49984124
SPATA48,7:50135479-50198852
IKZF1,7:50343660-50472799
RNU6-1091P,7:50503078-50503184
FIGNL1,7:50511831-50518048
DDC,7:50526140-50633102
DDC-AS1,7:50599457-50611161
GRB10,7:50657765-50861150
RPL39P23,7:50911088-50911479
COBL,7:51083909-51384506
RPL7L1P2,7:51327117-51327941
CICP17,7:51449942-51451786
LOC100133177,7:51455251-51457317
LOC107986794,7:51460075-51460953
ROBO2P1,7:51667992-51668268
RN7SL292P,7:51784353-51784618
SGO1P2,7:52964020-52965501
LOC392027,7:53070113-53071322
POM121L12,7:53103326-53104618
HAUS6P1,7:53254831-53256635
RNF138P2,7:53383898-53384412
RNU1-14P,7:53433751-53433904
RN7SKP218,7:53557841-53558132
LINC01446,7:53723202-53879624
RNU2-29P,7:53843829-53844017
RAC1P9,7:53847442-53847956
HAUS6P3,7:53929928-53934574
LINC01445,7:54398390-54417538
SLC25A5P3,7:54487064-54488293
VSTM2A,7:54610068-54638760
VSTM2A-OT1,7:54624663-54639419
RNU6-1125P,7:54688718-54688824
RPL31P35,7:54724008-54724468
SEC61G,7:54819946-54826904
SEC61G-DT,7:54827006-54872662
LOC643168,7:55001093-55007333
EGFR,7:55086710-55279321
EGFR-AS1,7:55247443-55256642
ELDR,7:55306129-55323328
LOC100130121,7:55311940-55313374
CALM1P2,7:55327375-55327987
LOC100129276,7:55410009-55412651
LANCL2,7:55433030-55501430
VOPP1,7:55538301-55640195
CDC42P2,7:55705886-55706608
TUBBP6,7:55713159-55714814
LOC643348,7:55726689-55746170
FKBP9P1,7:55748767-55772260
RNU6-389P,7:55753670-55753774
LOC100420539,7:55778997-55780921
SUMO2P3,7:55799717-55800706
CICP11,7:55804433-55808196
LOC100419984,7:55810070-55811221
PSPHP1,7:55832490-55841376
RNU6-1126P,7:55857061-55857167
SEPTIN14,7:55861233-55930445
CICP12,7:55865689-55866519
LOC100420540,7:55878477-55879154
LOC101409255,7:55945612-55948434
ZNF713,7:55955149-56009918
MRPS17,7:56019570-56024193
NIPSNAP2,7:56032278-56067872
PSPH,7:56078757-56119137
CCT6A,7:56119458-56131682
SNORA22B,7:56123058-56123195
SNORA15,7:56128163-56128295
SUMF2,7:56131979-56148363
PHKG1,7:56147988-56160645
CHCHD2,7:56169266-56174169
NUPR2,7:56182374-56184110
IFITM3P4,7:56230806-56231393
LOC100130909,7:56243131-56244185
CCNJP1,7:56296124-56297653
LOC441228,7:56355480-56359677
LOC154937,7:56370617-56373225
RNU6-1335P,7:56407924-56408030
SEPTIN14P24,7:56427856-56428233
CICP8,7:56430109-56431936
LOC100419985,7:56438331-56439444
LOC100533648,7:56439629-56440742
LOC100419986,7:56440924-56441578
LOC100533649,7:56442220-56443346
RNU6-1052P,7:56469763-56469866
LOC650226,7:56491397-56516068
LOC728376,7:56533946-56535424
LOC100240728,7:56549798-56551012
RBM22P3,7:56558300-56559330
DKFZp434L192,7:56563916-56564977
VN1R24P,7:56568578-56568836
NMD3P2,7:56569779-56570730
LOC100419642,7:56593121-56593806
LOC101928401,7:56601923-56605823
VN1R25P,7:56626806-56627717
LOC100130210,7:56635445-56636645
LOC346296,7:56665241-56669238
LOC100289196,7:56671037-56671718
TRIM60P16,7:56699429-56700420
LOC100533632,7:56717299-56718391
VN1R26P,7:56748838-56749350
LOC100533633,7:56752729-56753889
LOC728416,7:56803903-56804305
LOC100533652,7:56871232-56872341
CICP28,7:56873032-56875346
LOC401357,7:56876817-56880429
LOC100419987,7:56883245-56884446
LOC100533650,7:56885131-56886281
LOC100533651,7:56886969-56888119
LOC100507393,7:56888951-56890152
LOC100130849,7:56943078-56949839
MIR4283-1,7:57023492-57023571
TNRC18P3,7:57063241-57076859
SLC29A4P1,7:57081792-57087980
PHKG1P4,7:57128019-57129012
SEPTIN7P15,7:57135656-57142390
ZNF479,7:57187321-57207571
LOC100101483,7:57214487-57218234
VN1R27P,7:57227866-57228239
GUSBP10,7:57233377-57247863
MTATP6P8,7:57234907-57235587
MTCO3P10,7:57235587-57236358
MTND4LP32,7:57236850-57237119
MTND4P4,7:57237013-57238575
MTND5P6,7:57238700-57240476
MTND6P29,7:57240484-57240998
MTCYBP29,7:57241064-57242069
MTND1P4,7:57253115-57253908
NMTRQ-TTG13-1,7:57253980-57254051
MTND2P6,7:57254121-57255155
MTCO1P10,7:57255599-57257847
MTCO2P10,7:57257286-57257909
MTATP6P10,7:57258169-57258845
MTCO3P4,7:57258848-57259634
MTND4LP4,7:57260117-57260408
MTND4P5,7:57260402-57261774
MTND5P7,7:57262031-57263753
MTCYBP5,7:57264345-57265479
GUSBP12,7:57268531-57271376
LOC105375297,7:57288876-57289881
RNU7-157P,7:57294708-57294773
LOC100419779,7:57341960-57342561
LOC100653233,7:57472473-57507518
MIR3147,7:57472731-57472796
VN1R28P,7:57482489-57483407
SAPCD2P2,7:57484123-57485583
ZNF716,7:57509883-57533265
VN1R29P,7:57536328-57537198
NCOR1P3,7:57659431-57669798
LOC100420545,7:57688991-57689907
BSNDP4,7:57698431-57698818
LOC100420541,7:57895042-57895958
RNU6-417P,7:62471841-62471947
LOC100419991,7:62517791-62518701
ZNF90P3,7:62547122-62548656
SAPCD2P4,7:62573818-62575260
SEPTIN14P1,7:62586082-62615314
LOC100421386,7:62669600-62672194
PHKG1P1,7:62693143-62694624
SEPTIN7P4,7:62701968-62708699
ZNF733P,7:62751665-62764434
ARAFP3,7:62803091-62804111
VN1R30P,7:62806218-62807110
LOC102724738,7:62807178-62810444
LOC100287704,7:62809448-62812152
VN1R31P,7:62827703-62828545
VN1R32P,7:62837711-62838627
LOC100287834,7:62856718-62859419
SLC25A1P2,7:62858409-62859966
VN1R33P,7:62861757-62862649
ARAFP2,7:62864756-62865776
ZNF734P,7:62904563-62917271
SEPTIN7P5,7:62956177-62962914
PHKG1P2,7:62969680-62971299
SLC29A4P2,7:63016974-63023166
TNRC18P2,7:63026751-63045452
MIR4283-2,7:63081468-63081547
GABPAP,7:63353627-63358286
NMD3P1,7:63368743-63370939
SLC25A1P3,7:63391488-63392611
VN1R34P,7:63394842-63395709
ARAFP1,7:63398085-63398890
VN1R35P,7:63423809-63424470
VN1R36P,7:63426156-63426526
ZNF722P,7:63459184-63483903
LINC01005,7:63484794-63490480
ZNF727,7:63505812-63545717
TRIM60P17,7:63545934-63546953
GUSBP6,7:63560683-63580923
MTND4P2,7:63564471-63565673
MTND4LP2,7:63565670-63565954
MTND3P2,7:63566032-63566373
MTCO3P8,7:63566443-63567197
MTATP6P18,7:63567200-63567950
MTCO2P8,7:63568207-63568864
MTCO1P8,7:63569003-63570525
MTND2P4,7:63570925-63571928
MTND1P2,7:63572133-63572950
RPL6P20,7:63601882-63602798
VN1R37P,7:63609997-63610907
VN1R38P,7:63640366-63641294
SAPCD2P1,7:63642010-63643571
ZNF735,7:63667581-63680668
ZNF679,7:63688852-63727309
VN1R39P,7:63733916-63734367
ZNF736,7:63774339-63817012
TRIM60P18,7:63815468-63816777
YWHAEP1,7:63894071-63895898
VN1R40P,7:63904138-63905054
ZNF680P1,7:63929552-63930557
VN1R41P,7:63935935-63936540
HNRNPCP7,7:63961203-63962107
ZNF680,7:63980256-64023449
BNIP3P42,7:64011876-64012444
LOC100133092,7:64027174-64027855
LOC100129293,7:64028248-64030815
LOC100128885,7:64035073-64078967
LOC641746,7:64042988-64044129
ZNF107,7:64126511-64171955
BNIP3P11,7:64139332-64147771
MIR6839,7:64139442-64139554
LOC644387,7:64194993-64197285
ZNF138,7:64254806-64321201
SEPHS1P1,7:64311698-64313827
EEF1DP4,7:64323329-64324828
ZNF273,7:64337981-64391359
VN1R42P,7:64393651-64394129
MTDHP1,7:64402541-64403289
ERV3-1-ZNF117,7:64432154-64467124
ZNF117,7:64432154-64451414
VN1R43P,7:64433295-64433602
ERV3-1,7:64450734-64467065
RNU6-1229P,7:64483582-64483688
LOC441241,7:64498480-64498957
CCT6P3,7:64498732-64535091
SNORA22C,7:64526377-64526510
SNORA15B-1,7:64530916-64531050
GTF2IP14,7:64544481-64560610
INTS4P1,7:64601408-64694600
PRR13P6,7:64721600-64721746
CLUHP7,7:64727289-64727877
LOC100419781,7:64756554-64757705
RSL24D1P3,7:64799915-64800630
LOC100533634,7:64820866-64822202
ZNF92,7:64838768-64866049
LOC101929322,7:64957248-65019978
LOC402279,7:65081990-65084067
LOC441242,7:65111924-65235797
INTS4P2,7:65112767-65183667
CCT6P1,7:65216092-65228662
SNORA22,7:65220513-65220646
SNORA15B-2,7:65225039-65225173
GTF2IP5,7:65238607-65267079
RNU6-912P,7:65279659-65279762
RNU6-973P,7:65324647-65324753
VKORC1L1,7:65338061-65424545
HNRNPA1P75,7:65403747-65404349
GUSB,7:65425671-65447200
LOC100419772,7:65490168-65493644
LOC644667,7:65534487-65536326
ASL,7:65540806-65558563
CRCP,7:65579805-65619555
TPST1,7:65670321-65825430
RNU6-313P,7:65809290-65809401
LINC00174,7:65841031-65865395
GTF2IP9,7:65872275-65874226
SKP1P1,7:65887629-65888973
LOC729126,7:65899620-65900144
GS1-124K5.4,7:65958619-65960461
LOC346329,7:65969552-65971422
LOC100420547,7:65976541-66010658
GS1-124K5.11,7:65995292-66057394
SAPCD2P3,7:66021139-66022761
RPL35P5,7:66071690-66072144
KCTD7,7:66093868-66108216
LOC100996437,7:66119506-66134589
RABGEF1,7:66119554-66276451
LOC100420954,7:66254802-66255330
GTF2IRD1P1,7:66274980-66309813
GTF2IP23,7:66312437-66349260
RNU6-1254P,7:66356175-66356278
LINC02604,7:66369107-66371284
RPL31P38,7:66379557-66379908
TMEM248,7:66386212-66423538
RN7SL43P,7:66445107-66445396
SBDS,7:66452667-66460573
TYW1,7:66461820-66704501
MIR4650-1,7:66579309-66579384
PMS2P4,7:66741118-66767429
SPDYE21,7:66743279-66753973
STAG3L4,7:66767625-66786513
LINC01372,7:66800963-66805011
MTATP6P21,7:67092818-67093006
MTCO3P41,7:67093009-67093336
LOC102723427,7:67485240-67497677
MTCO1P57,7:67562724-67563237
MTND4P3,7:67731306-67731849
LOC100419458,7:68105745-68106594
RNA5SP231,7:68188898-68189035
RNU6-832P,7:68590257-68590361
MTCO2P25,7:68795684-68796364
MTCO1P25,7:68796821-68798619
RNU6-229P,7:68866188-68866289
CT66,7:69059790-69062610
AUTS2,7:69063461-70258492
LOC100967223,7:70302728-70310341
GALNT17,7:70597130-71178584
MIR3914-1,7:70772658-70772756
MIR3914-2,7:70772660-70772754
RN7SKP75,7:71150437-71150732
CALN1,7:71244476-71912128
RNA5SP232,7:71378723-71378841
RPS28P6,7:71407218-71407598
ABCF2P2,7:71568157-71569194
TYW1B,7:72039498-72298779
MIR4650-2,7:72162874-72162949
RN7SL377P,7:72293473-72293750
SBDSP1,7:72299952-72307978
RN7SL625P,7:72312015-72312305
SPDYE7P,7:72333321-72342072
POM121,7:72349928-72421998
NSUN5P2,7:72418832-72425302
TRIM74,7:72430016-72439997
LOC100101148,7:72440213-72443674
STAG3L3,7:72467818-72476466
PMS2P7,7:72476603-72486904
SPDYE8,7:72490260-72500309
PMS2P10,7:72507928-72511259
SPDYE10P,7:72518323-72569537
GTF2IP4,7:72569012-72621336
PHBP5,7:72602009-72602776
NCF1B,7:72634674-72649979
GTF2IRD2P1,7:72656784-72694144
POM121B,7:72707495-72717232
NSUN5,7:72716513-72722823
TRIM50,7:72726532-72742085
FKBP6,7:72742164-72772634
RNU6-1080P,7:72753097-72753203
FZD9,7:72848108-72850450
BAZ1B,7:72854736-72936623
RNU6-1198P,7:72921538-72921604
BCL7B,7:72950686-72972020
TBL2,7:72981867-72992909
MLXIPL,7:73007532-73038852
VPS37D,7:73082161-73086440
DNAJC30,7:73095248-73097783
BUD23,7:73097927-73112542
STX1A,7:73113540-73133999
MIR4284,7:73125647-73125727
RN7SL265P,7:73146899-73147198
ABHD11-AS1,7:73149399-73150330
ABHD11,7:73150424-73153132
CLDN3,7:73183327-73184600
CLDN4,7:73245326-73247020
METTL27,7:73248920-73256846
TMEM270,7:73275489-73280220
ELN,7:73442503-73484237
LIMK1,7:73498134-73536855
EIF4H,7:73588686-73611426
MIR590,7:73605528-73605624
LAT2,7:73624336-73644164
RFC2,7:73645832-73668729
CLIP2,7:73703737-73820265
GTF2IRD1,7:73868236-74016931
RNA5SP233,7:73901758-73901870
MIR10525,7:74010295-74010353
GTF2I,7:74072044-74175022
LOC101926943,7:74103271-74143256
PHBP15,7:74155796-74156460
NCF1,7:74188309-74203720
GTF2IRD2,7:74210490-74267901
STAG3L2,7:74298092-74306731
PMS2P5,7:74306887-74336166
SPDYE12P,7:74320407-74331167
CASTOR2,7:74422144-74445631
RCC1L,7:74441223-74489638
GTF2IRD2B,7:74508347-74565623
NCF1C,7:74572384-74587802
GTF2IP1,7:74601104-74653454
PHBP6,7:74619641-74620426
SPDYE13,7:74909858-74918383
SPDYE14,7:74922383-74946586
PMS2P6,7:74953657-74956959
SPDYE15,7:74964556-74974605
PMS2P2,7:74973159-74988251
STAG3L1,7:74988447-74997085
LOC541473,7:75021223-75024735
TRIM73,7:75024903-75034888
NSUN5P1,7:75039605-75046071
POM121C,7:75046065-75115576
SPDYE5,7:75122945-75133628
PMS2P3,7:75137069-75157453
HIP1,7:75162619-75368259
CCL26,7:75398842-75420915
CCL24,7:75440143-75452690
LOC100129130,7:75464979-75465647
RHBDD2,7:75508352-75518244
POR,7:75544473-75616173
MIR4651,7:75544515-75544587
RPL7L1P3,7:75552031-75552962
SNORA14A,7:75573101-75573234
TMEM120A,7:75616149-75623913
STYXL1,7:75625655-75677318
MDH2,7:75677424-75696826
RNU6-863P,7:75716762-75716865
GTF2IP7,7:75721381-75738080
LOC645324,7:75742228-75742753
LOC100420548,7:75804796-75806474
SRRM3,7:75831214-75916604
HSPB1,7:75931990-75933609
YWHAG,7:75956116-75988308
SSC4D,7:76018654-76039014
ZP3,7:76026839-76071386
DTX2,7:76090972-76135308
FDPSP2,7:76099337-76104317
UPK3B,7:76139869-76145839
SPDYE16,7:76163011-76169703
LOC100133091,7:76178658-76257299
POMZP3,7:76239303-76256620
DTX2P1,7:76589085-76633674
FDPSP7,7:76597453-76598627
DTX2P1-UPK3BP1-PMS2P11,7:76610139-76653078
UPK3BP1,7:76633878-76635193
PMS2P11,7:76640764-76654871
SPDYE9,7:76651636-76661678
PMS2P9,7:76668797-76682355
SPDYE18,7:76682050-76690198
LOC100422695,7:76701045-76701808
FAM185BP,7:76710972-76751606
RPL7AP43,7:76744666-76745525
CCDC146,7:76751932-76924521
FGL2,7:76822686-76829136
GSAP,7:76940068-77045666
LOC101927243,7:77044515-77054761
GCNT1P5,7:77090744-77091650
PTPN12,7:77166612-77269386
APTR,7:77286977-77326662
RSBN1L,7:77325776-77412339
TMEM60,7:77423045-77427751
PHTF2,7:77428090-77586821
MAGI2,7:77646372-79082983
RPL13AP17,7:77976559-77988775
LOC100124402,7:78115833-78116712
MAGI2-AS2,7:78638304-78641593
RNU6-337P,7:78659556-78659661
LOC100421387,7:78754055-78754947
RNU6-530P,7:78972582-78972688
MAGI2-AS3,7:79082273-79100524
NUP35P2,7:79172624-79174184
RNA5SP234,7:79283425-79283543
RNU6-849P,7:79541420-79541524
RPL10P11,7:79725837-79726578
GNAI1,7:79764147-79855497
RN7SL869P,7:79875242-79875541
RN7SL35P,7:79947569-79947860
LOC101927269,7:80000833-80003755
SNRPBP1,7:80006870-80007151
GNAT3,7:80087951-80141380
CD36,7:80231523-80308593
SEMA3C,7:80371854-80551705
LOC100420647,7:80820677-80821325
EIF4EP4,7:81092352-81092929
LOC105369146,7:81145063-81191135
LOC100128317,7:81205702-81320722
DDX43P3,7:81240200-81240723
HGF,7:81328326-81399363
CACNA2D1,7:81575760-82073272
CACNA2D1-AS1,7:81638493-81659271
MTHFD2P5,7:82218086-82220079
PCLO,7:82383328-82792200
RNA5SP235,7:82647214-82647327
SEMA3E,7:82992554-83278455
RAD23BP2,7:83292538-83294139
SEMA3A,7:83585093-83824105
RPL7P30,7:84157433-84158146
LOC101927378,7:84161792-84213634
